+-----+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+
| t   | TID-gtcicm23g      | TID-gtcickbn4      | TID-gtcicju90      | TID-gtcicjsfg      | TID-gtcicjqlw      | TID-gtcicjor8      | TID-gtcicjnm4      |
+-----+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+
| 0.0 |                    | Start b038dab40915 | Start 3397722e4508 | Start eb9d6aa17356 | Start d6a8f024dfdf | Start d4e59132ae30 |                    |
| 0.1 |                    | Completed 109.87ms |                    |                    |                    | Failed 37.66ms     |                    |
| 0.2 |                    |                    |                    |                    |                    | Start 4c21f699a2ef | Start 2b70569f14d7 |
| 0.3 |                    |                    | Completed 277.25ms | Completed 287.97ms | Completed 291.59ms |                    | Completed 110.62ms |
| 0.4 |                    | Start 19c55ca41599 |                    |                    |                    |                    |                    |
| 0.5 |                    |                    | Start 9a27d4df8de4 | Start 002e8419a874 |                    | Completed 272.99ms | Start a55c66edfc10 |
| 0.6 |                    | Completed 107.00ms | Completed 116.42ms | Completed 112.30ms |                    |                    | Completed 107.36ms |
|     |                    |                    |                    |                    |                    |                    | Start a653861a4690 |
| 0.7 | Start fa6d70f18ea4 | Start 2669de42746b | Start b6e65256111e |                    |                    | Start d8c5ef3ad254 |                    |
|     | Failed 24.11ms     |                    |                    |                    |                    |                    |                    |
| 0.8 |                    | Completed 102.64ms | Completed 107.06ms |                    |                    | Completed 107.78ms |                    |
|     |                    | Start 648e137d3c45 |                    |                    |                    |                    |                    |
| 0.9 | Start ed23a988ccf4 | Completed 101.15ms |                    |                    |                    | Start 9a87cb75a647 | Completed 269.68ms |
|     |                    | Start 076495a6e6c5 |                    |                    |                    |                    | Start eb9a41290a6e |
| 1.0 | Completed 102.25ms | Failed 11.88ms     |                    |                    |                    | Completed 104.38ms | Completed 101.17ms |
|     |                    |                    |                    |                    |                    | Start 07a800afe916 |                    |
| 1.1 |                    | Start ef316c775b20 | Start 2bc74d303f26 |                    | Start b32206caf697 | Completed 117.24ms | Start 4d8fdaa24318 |
| 1.2 |                    | Completed 107.41ms | Completed 108.07ms |                    | Completed 109.38ms |                    | Completed 108.07ms |
|     |                    |                    |                    |                    | Start 299b576d3fd2 |                    |                    |
| 1.3 |                    | Start 3a1f0f22dbdd | Start 93e809f00d8b | Start 2f25b765d164 | Completed 110.98ms | Start 7a06e82bb61b |                    |
| 1.4 |                    | Completed 105.33ms | Completed 110.62ms | Completed 108.32ms |                    | Completed 109.03ms |                    |
|     |                    |                    |                    |                    |                    | Start 0c69192b58e0 |                    |
| 1.5 | Start 84e11d60d21b | Start 054d46a770fe | Start df6e10a9af2e |                    | Start ce560b0904e2 | Completed 107.87ms |                    |
